Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11
Gene Nelson,1009501,-0.3,0.9,-0.4,0.6,0.0,1.4,1.8,0.5,1.0,0.6,-1.6
Darold Knowles,1007058,0.9,0.6,0.9,0.2,0.8,0.6,0.0,-0.2,-1.1,1.7,0.4
Joe Price,1010530,0.4,0.8,0.4,2.0,1.8,0.3,-0.1,0.3,0.2,0.2,0.2
Chris Short,1011931,0.4,0.7,1.1,3.4,5.6,6.5,3.3,3.4,2.1,3.9,0.6
Bobby Witt,1014170,0.8,1.7,2.4,2.5,5.0,0.9,1.3,3.2,0.9,3.6,2.5
Dave McNally,1008655,1.2,1.4,2.3,3.0,0.7,4.5,4.7,4.9,1.8,3.0,3.2
Brad Penny,535,1.2,4.6,1.0,3.1,3.0,3.5,3.6,4.4,0.0,1.8,0.9
Sterling Hitchcock,824,0.4,0.8,2.0,2.7,0.7,1.5,3.0,0.4,1.2,0.4,0.3
David Weathers,902,0.9,1.0,0.4,0.4,1.9,0.1,0.5,1.1,0.5,0.7,-0.3
Darryl Kile,1163,0.0,0.8,2.4,0.8,1.7,3.7,4.0,3.2,0.9,4.3,4.5
Ken Holtzman,1005989,3.0,0.2,2.3,5.1,5.8,3.6,2.7,5.0,5.5,3.6,1.7
Rick Sutcliffe,1012734,2.7,-0.4,-0.3,3.5,3.0,6.0,2.4,1.5,3.4,3.2,3.7
Todd Stottlemyre,75,-0.2,1.2,2.7,2.6,1.4,3.0,2.0,4.1,2.3,3.3,4.1
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4,5.1,6.0,6.4,6.9
Alan Embree,1030,-0.6,0.9,0.0,0.5,0.6,-0.3,1.6,0.8,0.4,-0.3,1.1
Rod Beck,1730,0.4,2.7,1.4,-0.3,0.0,0.4,1.1,1.1,0.1,0.9,-0.6
David Robertson,8241,0.2,0.7,0.8,2.3,1.5,1.3,1.4,1.7,1.1,1.9,1.5
Elmer Dessens,317,0.1,3.0,2.2,1.6,2.2,0.8,0.5,0.6,0.0,-0.2,-0.3
Shawn Estes,873,1.3,3.6,1.8,2.4,3.0,2.1,1.5,0.6,0.7,0.8,-0.1
Joe Gibbon,1004658,1.3,4.2,0.5,2.5,1.7,1.3,1.5,1.1,-0.5,-0.2,0.0
Charles Nagy,397,0.0,3.2,7.0,0.6,3.5,3.2,5.4,2.9,1.3,3.2,0.0
Doug Henry,1005668,0.8,0.6,-0.2,-0.7,0.5,0.1,0.5,-0.4,-0.6,-0.6,-0.7
Tom Candiotti,1001911,0.6,0.2,4.3,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5
Dick Ellsworth,1003754,2.3,2.2,2.2,6.6,1.7,3.0,4.0,1.1,3.3,1.9,0.4
Mike Remlinger,111,-0.2,-0.4,2.2,1.1,1.0,1.0,1.5,1.5,0.1,0.6,-0.1
Jesse Orosco,667,-0.3,1.3,2.2,1.0,0.9,0.4,1.6,-0.4,1.1,-0.5,0.5
Francisco Rodriguez,1642,0.6,3.7,1.5,2.4,1.9,1.5,0.7,1.5,1.3,0.2,0.3
Dock Ellis,1003747,0.7,4.2,3.4,3.7,3.9,4.4,3.0,1.9,1.2,3.1,0.7
Mike Flanagan,1004133,0.6,4.4,4.5,6.0,2.9,1.5,2.7,1.8,2.4,0.3,2.6
Rick Honeycutt,1005992,1.5,2.2,2.5,1.5,0.9,2.8,1.9,1.5,3.1,1.8,0.4
Tim Belcher,1000789,0.8,4.1,3.3,1.5,4.1,3.1,3.0,1.2,1.7,3.8,1.9
Steve Carlton,1001964,0.9,4.4,4.0,4.9,3.6,3.1,11.1,4.5,5.3,3.5,5.1
Jim Kaat,1006660,-0.3,3.8,5.4,1.9,4.7,4.3,6.4,6.4,3.9,3.5,3.2
Eric Plunk,1010400,-0.5,1.1,0.8,0.0,0.2,-0.1,0.3,1.5,1.6,1.1,1.7
Bill Singer,1012007,4.7,4.2,6.1,2.0,2.0,2.3,6.2,2.6,0.6,1.8,0.3
Braden Looper,526,0.5,0.1,0.1,0.5,1.2,1.7,-0.6,1.1,1.4,1.4,-0.5
Joaquin Andujar,1000266,0.9,1.2,0.6,1.3,1.1,0.6,5.5,1.6,3.1,3.1,0.3
Andy Messersmith,1008799,1.3,5.0,2.3,3.5,3.5,3.2,5.6,5.9,3.7,1.4,-0.3
Dwight Gooden,1004852,8.3,8.9,4.8,4.5,6.0,1.8,6.8,4.0,3.5,3.7,0.1
Kyle Farnsworth,278,-0.4,-0.3,2.0,-0.4,1.2,0.3,1.5,1.1,-0.2,-0.7,0.6
Doug Brocail,551,1.0,-0.2,-0.2,0.4,1.7,1.8,0.8,0.8,1.1,0.0,0.7
Randy Wolf,976,0.8,2.9,3.4,3.9,2.5,1.7,0.7,-0.1,1.9,2.6,3.0
Gio Gonzalez,7448,-0.7,1.1,3.2,3.3,5.0,3.2,3.2,3.6,2.8,3.7,2.1
Mark Davis,1003067,-0.3,0.5,0.4,1.5,1.6,0.8,2.8,2.2,-0.6,0.0,-0.9
Joe Horlen,1006025,1.4,0.7,4.5,4.0,3.1,3.5,1.6,3.5,2.5,2.4,1.4
Paul Byrd,594,-0.3,-0.1,0.8,0.5,-0.1,1.4,3.1,1.7,3.3,1.7,1.8
Jon Lester,4930,1.0,0.2,4.2,5.4,5.0,2.6,2.4,3.3,5.4,4.8,4.2
Stan Bahnsen,1000414,4.4,1.0,2.3,2.2,3.2,3.3,1.1,1.7,1.1,0.8,-0.6
Steve Trout,1013197,2.1,3.2,1.8,1.5,2.4,3.4,1.3,2.0,1.6,-0.2,0.0
Max Scherzer,3137,1.1,2.7,4.0,2.3,4.5,5.9,5.6,6.4,5.6,6.3,7.4
Doug Bird,1000976,1.1,1.5,1.6,2.8,1.4,0.8,0.0,0.4,1.5,1.1,-0.5
Keith Foulke,231,0.0,0.4,2.9,2.5,2.6,1.3,1.8,1.6,-0.4,0.1,-0.5
Mariano Rivera,844,0.3,4.3,2.0,1.2,2.1,1.9,3.2,1.4,2.5,2.5,2.9
Jonathan Papelbon,5975,0.3,3.1,2.1,2.8,1.9,1.0,3.0,1.4,1.1,2.0,0.4
Mudcat Grant,1004952,-0.7,1.6,0.0,1.6,1.7,3.0,3.6,1.1,0.5,-0.3,0.7
Fred Norman,1009632,-0.9,-0.5,1.1,2.2,1.6,3.2,0.6,2.7,1.8,0.8,2.9
Bill Swift,1012788,1.9,1.5,1.8,1.5,2.6,1.6,2.7,4.5,1.6,1.5,0.2
Mark Buehrle,225,0.6,4.0,4.3,4.3,4.5,5.9,1.7,3.3,4.3,3.0,4.0
Jose Rijo,349,0.6,1.3,1.7,0.8,3.8,2.1,4.5,6.1,5.1,7.1,4.1
Joe Smith,3281,0.2,0.3,0.2,-0.2,1.3,0.8,0.5,0.9,0.9,-0.3,1.8
Jim Bibby,1000945,0.3,1.9,1.9,2.6,2.5,3.8,1.0,2.5,2.6,1.7,-0.7
Mike Maddux,1007951,0.7,0.7,0.4,1.4,1.5,1.1,-0.1,2.1,-0.3,0.7,0.3
Juan Berenguer,1000865,0.6,-0.3,1.5,2.2,0.9,0.8,2.3,0.8,0.3,-0.1,0.7
Dick Hall,1005241,1.9,2.7,2.2,1.1,0.7,1.6,0.3,0.9,-0.1,1.0,0.3
Johan Santana,755,0.0,0.0,3.4,3.7,6.8,7.1,6.7,4.0,5.3,3.5,3.7
Johnny Cueto,6893,1.0,1.4,2.5,3.0,4.3,0.7,4.5,4.1,4.9,1.2,0.2
Ross Grimsley,1005071,1.0,1.4,1.6,4.2,0.9,1.1,0.7,2.7,0.2,-0.2,-0.3
Tom Gordon,282,2.4,2.5,1.6,1.0,2.5,2.2,3.5,2.8,4.4,2.7,1.5
R.A. Dickey,1245,1.3,0.6,-0.1,-0.4,2.8,2.6,4.6,1.9,1.7,1.8,0.9
Fergie Jenkins,1006388,1.8,4.5,6.3,8.2,9.5,9.6,4.8,4.2,7.8,2.7,3.7
Don Sutton,1012745,4.7,3.0,4.0,3.9,1.9,7.1,6.8,6.0,4.7,5.4,3.3
Jose Mesa,961,-0.1,0.5,0.8,0.9,2.9,1.7,2.1,1.4,1.0,0.4,-0.9
Matt Garza,3340,0.6,1.1,3.3,2.8,2.1,4.7,0.9,2.1,2.5,0.4,1.2
Bobby Bolin,1001146,-0.4,0.6,1.4,1.4,1.6,1.9,-0.6,2.6,1.0,0.0,0.5
Don Robinson,1011061,3.4,2.5,2.1,-0.5,1.0,0.0,2.0,0.8,0.5,1.5,2.7
CC Sabathia,404,2.7,3.6,3.5,2.8,3.6,5.0,6.4,7.4,5.8,5.5,5.8
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8
Ron Darling,1002989,0.6,1.0,2.2,3.5,2.0,2.6,2.7,0.2,1.5,2.5,1.0
Jeff Montgomery,1009071,-0.1,2.7,1.6,1.6,1.4,2.6,1.0,0.8,-0.3,0.4,0.4
Terry Mulholland,665,0.2,0.6,1.4,2.4,4.6,3.8,2.9,0.5,0.1,2.5,1.3
Dan Haren,1757,0.7,0.5,3.7,3.8,4.7,6.1,5.3,3.6,5.9,1.8,1.5
Larry Andersen,1000236,1.1,-0.7,0.8,0.4,0.8,1.3,1.4,2.3,2.7,1.7,0.8
Tony Cloninger,1002359,-0.4,1.1,0.1,2.7,3.8,1.5,-0.2,0.4,0.1,0.4,-0.9
Tommy John,1006515,1.1,3.0,3.8,2.6,2.9,3.8,4.4,4.5,3.0,3.3,3.7
Milt Pappas,1009989,3.0,1.4,1.2,2.1,4.8,3.0,3.7,3.8,2.2,1.4,3.3
Brad Radke,748,0.8,2.8,4.9,4.2,3.7,4.2,4.5,2.1,2.8,5.0,2.2
Esteban Loaiza,1310,1.2,-0.2,2.9,1.0,2.5,2.9,2.1,2.3,6.9,1.2,4.7
Cal Eldred,1653,2.6,2.9,1.3,1.3,0.8,1.1,-0.4,1.9,0.3,0.2,0.1
Phil Hughes,7450,1.0,0.4,2.3,3.1,0.5,1.9,1.0,6.4,1.2,0.3,0.1
Dave Giusti,1004748,0.4,1.0,2.0,2.7,3.8,1.2,1.3,0.4,1.1,0.2,1.7
Greg Harris,1005415,0.4,0.2,0.3,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5
Jerry Reuss,1010853,2.0,1.4,2.8,4.0,2.5,4.6,2.9,3.9,1.0,2.9,4.6
Pedro Astacio,862,1.8,2.6,1.5,1.0,2.6,3.0,1.6,4.2,3.5,3.2,1.0
Jeff Nelson,1092,-0.5,0.4,0.4,2.2,1.3,1.0,0.4,0.3,1.3,1.1,0.5
Mike Bielecki,1000951,-0.3,1.0,0.5,0.4,3.2,1.8,1.0,2.0,0.7,0.0,0.7
Jeff Weaver,503,1.6,3.1,4.0,4.1,2.2,4.3,2.4,0.3,0.9,0.5,-0.3
Russ Ortiz,1124,0.4,1.7,1.1,4.4,2.9,3.0,1.6,-0.3,-1.0,0.4,0.6
Bob McClure,1008400,1.4,-0.5,-0.1,0.6,0.8,0.9,1.6,0.2,0.9,-0.3,-0.2
Brandon McCarthy,4662,0.5,0.0,1.1,1.0,4.5,1.9,1.6,2.6,0.6,2.1,0.2
Rick Rhoden,1010887,0.7,1.2,3.2,1.6,1.7,2.0,3.6,5.0,4.3,2.7,4.6
Andy Ashby,637,0.0,-0.4,0.1,3.2,3.3,1.8,3.8,3.2,2.7,1.9,1.8
John Burkett,179,2.5,2.3,2.8,4.5,2.4,2.2,4.6,4.6,4.1,2.4,2.5
Tom Burgmeier,1001668,-0.1,-0.1,0.5,0.6,-0.2,0.2,0.6,-0.3,-1.1,-0.3,1.2
Mike Krukow,1007185,2.7,1.7,2.3,2.9,2.1,3.8,2.0,1.4,3.5,4.2,1.3
Juan Marichal,1008106,1.6,2.3,1.7,6.7,6.4,6.8,6.3,3.7,5.9,7.8,3.2
John Montefusco,1009065,0.7,6.0,5.2,3.1,2.9,0.7,0.4,0.1,1.8,1.7,0.7
Paul Assenmacher,1000344,0.8,-0.2,1.1,1.6,1.4,2.2,0.7,0.5,0.7,0.8,1.4
Scott McGregor,1008546,1.2,3.5,2.8,4.9,2.4,1.9,3.7,2.1,0.6,0.9,0.1
Jamey Wright,715,1.0,0.6,1.5,1.0,1.8,0.8,-0.2,0.6,0.6,0.8,0.4
Hoyt Wilhelm,1013945,2.6,1.7,1.7,2.6,1.9,1.4,0.9,1.2,1.4,1.3,0.4
Zach Duke,3840,2.2,3.2,0.7,2.7,2.9,0.2,0.6,0.0,1.3,-0.5,1.3
Chuck McElroy,1008477,0.7,0.5,0.0,1.2,0.0,0.6,1.4,1.9,-0.2,0.5,-0.9
Jeff Shaw,1011823,-0.4,0.0,-0.3,0.4,0.3,1.2,2.3,1.2,1.1,0.5,0.6
Roger Clemens,815,3.4,2.3,7.1,8.4,9.2,5.1,8.2,8.5,7.6,3.7,4.2
Jim Barr,1000606,0.2,1.9,2.5,3.3,2.7,3.6,3.1,2.1,1.6,-0.7,0.6
Eddie Fisher,1004085,-0.4,2.2,1.0,0.4,0.5,0.6,0.1,0.2,0.2,0.2,0.1
Steve Hargan,1005356,0.9,4.7,4.2,0.4,0.7,1.8,-0.9,2.6,1.9,0.8,0.5
Carl Pavano,790,0.9,2.1,1.8,0.4,0.8,3.3,4.5,0.6,0.0,3.5,2.8
Greg Minton,1008986,0.7,1.1,0.5,0.7,-0.4,-0.5,-0.7,-0.1,0.8,1.2,0.5
Fernando Valenzuela,1013327,4.9,6.1,4.2,5.2,5.4,6.2,2.3,-0.2,1.6,1.7,1.4
Paul Lindblad,1007614,0.8,0.3,0.2,0.2,-0.1,0.3,0.2,-0.3,1.5,1.3,0.9
Tom Murphy,1009376,1.3,2.7,0.0,0.6,0.8,1.5,0.3,0.1,-0.2,-0.2,-0.6
Hector Carrasco,1240,0.4,1.0,0.1,0.5,0.5,0.7,0.4,0.6,-0.1,1.3,0.7
Russ Springer,1652,-0.3,0.1,-0.3,0.9,0.9,0.4,0.4,-0.2,0.2,0.1,1.4
Jim Perry,1010213,1.4,1.0,1.9,1.5,0.6,1.7,2.9,1.8,2.3,5.5,6.7
Pete Richert,1010922,1.0,0.4,0.1,2.8,2.4,2.5,0.1,0.7,0.8,0.1,0.3
Mario Soto,1012289,-0.2,-0.1,3.1,3.3,7.4,4.5,2.5,3.1,0.3,-0.2,0.5
Carlos Zambrano,305,1.1,4.7,4.7,4.2,3.9,2.8,2.8,3.8,1.9,0.6,0.6
Scott Kazmir,4897,0.5,3.6,3.6,4.8,2.3,2.2,-1.0,2.5,3.4,2.3,1.0
Roy Halladay,1303,0.5,-0.3,4.0,6.8,7.0,2.8,3.8,5.1,5.1,6.6,7.0
Aaron Harang,1451,1.2,1.0,1.8,4.6,5.7,5.4,1.4,2.2,0.7,1.4,2.3
Dennis Cook,8,0.1,-0.4,0.0,0.0,0.2,0.2,1.5,0.7,1.4,0.1,-0.1
Scott Erickson,137,0.8,3.2,1.9,3.3,2.2,3.4,3.6,4.7,5.2,2.0,0.2
Tim Wakefield,219,1.3,-0.5,2.6,1.0,1.8,1.6,0.7,-0.3,2.2,2.7,3.6
Jeff Reardon,1010741,0.6,0.4,1.7,0.7,1.0,1.2,0.1,0.7,1.6,0.6,0.2
Bob Knepper,1007031,1.6,4.5,0.1,1.9,2.7,1.6,2.6,1.7,2.8,3.5,0.1
Chris Hammond,92,1.2,1.2,2.2,1.2,2.4,-0.3,0.9,1.8,1.3,0.6,-0.2
Brett Myers,962,-0.1,2.3,1.1,3.4,3.5,1.2,1.8,-0.5,3.8,1.7,0.1
Skip Lockwood,1007696,0.6,2.5,1.7,2.0,-0.2,0.8,2.3,2.3,0.4,0.9,-0.1
Brian Moehler,480,2.1,3.1,3.4,3.3,0.3,2.1,0.3,0.0,1.4,1.1,0.1
Ken Hill,1005827,1.8,1.0,2.1,3.2,2.6,2.3,1.4,5.6,1.9,1.7,1.1
Kevin Brown,642,3.1,2.4,1.5,6.3,4.4,3.4,4.5,6.7,6.5,9.6,7.3
Steve Reed,1053,-0.5,-0.1,1.7,0.3,-0.3,0.8,0.1,0.3,0.3,1.1,-0.2
Salomon Torres,1628,-0.1,0.2,-0.4,0.7,0.2,0.3,1.3,0.3,1.1,0.1,0.3
Jered Weaver,4235,2.5,2.9,3.2,3.8,5.8,5.4,3.0,2.3,1.3,0.8,0.1
Justin Verlander,8700,2.8,3.7,3.2,8.5,6.6,6.5,6.9,4.8,3.2,3.1,5.3
Kirk McCaskill,1008382,2.2,5.6,0.3,2.6,3.2,2.4,1.3,2.7,1.1,0.3,0.0
Juan Pizarro,1010382,-0.2,3.9,3.9,4.7,3.9,0.9,-0.3,0.4,0.0,-0.1,1.3
Dan Plesac,1319,2.5,2.3,1.9,0.9,0.9,0.0,0.6,-0.2,0.3,1.0,1.7
Mark Guthrie,876,0.3,3.4,0.6,1.4,0.2,1.0,1.1,-1.0,0.5,-0.1,0.5
Vicente Padilla,964,1.0,0.7,3.6,2.7,1.3,0.6,3.2,0.7,1.5,1.7,0.7
Pete Harnisch,1005374,0.2,2.0,3.3,2.5,3.2,0.3,1.7,0.7,-0.1,3.2,2.9
Tom Henke,1005649,1.1,3.5,3.3,1.0,3.5,1.5,1.7,0.6,1.6,0.6,1.3
Frank Tanana,1012818,3.6,7.2,6.0,5.8,2.8,1.3,3.5,1.2,2.6,2.6,2.1
Aaron Cook,1571,0.3,1.0,1.2,1.0,3.6,2.1,4.7,1.4,1.1,0.8,-0.4
Willie Hernandez,1005714,1.6,-0.4,0.0,0.8,1.4,1.4,3.2,1.7,0.8,-0.1,0.1
Jeff Fassero,279,1.3,1.3,3.5,2.9,3.6,5.9,5.0,3.1,-0.5,1.8,1.7
Mike Fetters,988,-0.1,-0.1,0.5,0.1,0.9,0.5,1.4,1.2,0.5,-0.3,0.0
Jake Peavy,1051,1.7,0.8,4.1,5.4,4.4,6.7,3.7,2.7,1.8,2.9,4.4
Woody Williams,1190,0.2,0.5,0.3,0.9,1.4,1.3,1.5,1.9,2.0,1.9,4.5
Floyd Bannister,1000516,1.7,0.0,2.3,4.2,1.8,4.9,5.0,2.0,2.5,2.5,2.3
Jose DeLeon,1003168,3.0,2.9,1.8,0.8,2.4,4.6,4.6,2.8,1.8,1.2,-0.3
Rollie Fingers,1004051,0.2,1.6,1.0,1.5,2.4,3.3,2.2,4.1,2.1,2.3,0.3
Dave Goltz,1004818,1.2,1.4,2.4,4.0,3.3,6.0,4.4,4.6,2.0,1.0,1.5
Steve Rogers,1011138,2.6,4.4,4.2,4.8,7.0,3.7,4.2,4.0,3.0,6.4,4.9
Jon Garland,232,0.4,0.3,2.2,1.7,1.9,3.5,3.6,3.5,1.3,1.8,1.0
Rick White,456,0.2,0.8,0.3,1.6,0.7,0.6,0.9,-0.2,-0.9,0.5,0.1
Jaime Navarro,1009465,1.8,2.1,3.1,4.0,2.4,1.0,3.3,3.2,3.2,-0.6,0.0
John Wetteland,1013815,1.7,-0.1,1.3,3.4,1.4,1.7,1.2,1.6,2.0,1.2,0.4
Pat Hentgen,145,-0.3,2.2,3.5,2.5,6.0,3.8,0.7,1.9,2.2,0.9,1.1
Doug Drabek,1003473,1.5,2.7,2.4,2.5,4.2,3.9,4.8,4.1,2.9,2.6,1.7
Chuck Finley,384,0.5,0.7,2.4,3.8,4.8,2.9,1.3,5.1,3.4,4.4,5.0
Mickey Lolich,1007712,1.9,4.4,5.1,2.2,4.6,3.2,6.0,5.1,8.3,6.1,5.4
John Curtis,1002905,3.3,2.2,1.4,0.2,-0.3,0.0,0.5,0.8,1.6,-0.9,0.2
Moe Drabowsky,1003474,0.4,-0.1,2.4,0.6,0.0,1.3,1.4,0.2,0.8,0.0,0.4
Tim Hudson,921,3.8,3.5,5.1,4.7,5.8,4.6,1.8,2.5,4.9,1.9,0.6
Terry Forster,1004236,0.5,2.3,3.1,3.0,0.8,1.3,0.9,1.6,0.1,0.7,1.3
Mark Portugal,1010460,1.3,-0.7,-0.7,1.6,1.7,0.9,0.7,3.4,1.2,2.2,1.7
Dave Roberts,1011031,-0.3,2.6,5.4,1.8,4.2,3.2,1.8,3.2,1.7,0.1,0.4
Mike Scott,1011691,0.3,1.3,0.3,1.7,2.2,1.7,8.6,5.4,3.5,2.6,0.7
Cliff Lee,1636,0.7,1.1,3.8,2.3,0.1,6.8,6.4,7.4,7.1,4.9,5.5
Kerry Wood,304,4.4,1.4,3.9,3.6,4.2,2.9,0.5,2.1,0.4,0.2,0.4
Roy Oswalt,571,4.2,6.2,2.6,6.5,6.1,6.1,4.9,3.7,3.5,4.4,2.8
Jorge De La Rosa,2047,0.3,-0.3,0.4,2.4,3.3,1.4,1.5,2.8,1.8,1.8,0.4
Mike Boddicker,1001111,3.8,3.6,3.8,2.9,3.3,4.0,2.9,4.1,1.7,0.4,0.5
Pat Dobson,1003345,-0.5,0.6,1.0,3.2,5.6,4.9,1.8,4.4,2.2,3.6,-0.4
Tug McGraw,1008545,0.1,-0.4,1.3,0.7,2.0,1.6,-0.1,-0.2,0.7,1.3,1.1
Nolan Ryan,1011348,0.6,1.7,1.1,0.6,5.4,8.7,6.8,2.4,5.3,6.6,5.0
Rafael Betancourt,177,0.4,1.8,1.5,0.8,3.3,0.2,1.4,1.8,1.7,1.4,0.6
Bob Howry,237,0.6,0.8,1.2,0.3,0.4,0.4,1.4,1.5,1.7,0.2,0.5
Willie Blair,1001033,0.8,-0.2,0.5,1.0,0.2,1.1,-0.3,3.0,-0.1,0.1,1.6
Tom Hume,1006179,0.1,2.2,2.6,1.4,-1.0,0.5,-1.2,-0.5,0.0,0.6,-0.6
Rick Helling,58,-0.3,0.4,0.3,3.5,1.3,2.6,2.1,1.5,0.4,1.4,0.0
Mike Caldwell,1001830,2.2,1.8,1.5,0.5,1.4,1.1,6.3,4.4,1.1,0.2,1.9
Bruce Kison,1006978,1.0,1.0,0.2,0.9,1.7,3.2,2.0,1.5,3.0,0.6,-0.3
Sam McDowell,1008476,0.1,0.6,3.7,8.7,4.4,2.8,6.8,9.4,7.6,1.4,1.6
Doug Jones,1006552,2.6,3.7,2.6,1.4,0.8,2.6,0.8,1.6,0.5,1.0,2.8
Bret Saberhagen,1011355,1.9,6.2,3.5,5.2,5.5,7.5,2.9,4.4,2.0,3.3,5.4
Zane Smith,1012218,1.9,3.3,3.7,1.6,2.2,4.0,4.6,2.2,1.2,1.5,2.4
James Shields,7059,1.7,4.0,4.1,3.4,2.1,4.9,3.8,4.1,3.4,0.8,-1.0
Mike LaCoss,1007240,0.6,2.0,1.3,-0.1,0.2,0.1,1.8,0.0,1.9,1.4,1.6
Steve Renko,1010835,0.1,1.4,1.0,-0.4,2.7,3.7,0.7,3.3,1.2,2.0,2.3
Scott Sanderson,1011422,1.3,2.5,2.7,2.2,2.9,0.6,3.6,2.2,2.7,1.1,1.6
Kelvim Escobar,1298,0.8,1.9,2.3,1.9,2.7,0.5,3.4,4.2,1.5,4.0,4.8
Jack Morris,1009211,0.5,0.3,3.6,3.7,2.7,2.2,6.2,4.0,4.7,4.0,4.1
Elias Sosa,1012284,0.8,-0.4,-0.1,1.1,0.6,1.3,1.5,1.5,0.1,-0.6,-0.1
Ricky Bones,1001161,0.9,-0.4,0.5,2.3,1.1,-0.4,0.3,0.4,-0.1,0.9,-0.3
Jay Howell,1006098,1.0,2.9,2.3,0.9,0.0,2.2,1.5,0.8,1.1,0.5,0.7
Bob Tewksbury,1012941,2.2,0.4,0.3,2.9,2.6,4.0,4.3,2.0,3.2,3.8,4.0
Dan Quisenberry,1010622,0.0,1.9,1.1,1.5,2.7,1.5,2.7,1.3,0.6,0.4,0.9
Darren Oliver,206,0.2,0.7,2.3,1.0,1.4,3.3,0.9,1.2,0.1,2.2,0.0
Santiago Casilla,2873,0.4,0.3,-0.2,0.6,0.3,-0.5,-0.2,0.4,0.2,0.1,0.1
Ray Culp,1002869,2.1,0.4,2.4,-0.5,0.4,3.8,4.1,5.3,4.6,0.5,-0.3
Bronson Arroyo,978,0.5,0.1,3.3,2.4,4.6,3.4,2.2,1.4,1.2,-1.6,2.2
Pedro Martinez,200,1.7,3.4,3.0,5.1,8.5,5.7,11.6,9.4,5.5,7.4,7.4
Rudy May,1008310,0.4,1.9,3.0,3.5,2.6,1.5,2.7,4.0,2.2,2.2,1.1
Rheal Cormier,952,1.5,3.0,1.2,0.4,1.7,2.0,0.9,0.8,0.3,-0.2,1.5
Chris Bosio,1001212,-0.3,3.7,3.0,5.5,1.4,3.3,3.8,2.8,1.7,2.0,0.5
Dick Bosman,1001215,0.3,0.9,0.9,4.2,4.1,1.0,2.6,-0.6,1.4,1.6,0.3
Moose Haas,1005172,1.8,0.3,1.3,4.0,1.9,3.6,2.9,3.1,2.1,1.6,0.1
Joe Coleman,1002428,1.7,2.5,2.8,2.0,7.1,3.9,4.4,1.5,1.2,1.4,0.8
John Denny,1003210,2.1,1.4,1.4,2.7,-0.2,1.9,2.2,2.2,5.8,2.7,2.9
Phil Niekro,1009583,0.4,-0.4,3.6,3.6,6.3,1.8,4.3,6.0,3.2,7.2,3.6
Buddy Groom,143,0.0,0.1,0.2,-0.3,0.6,0.1,0.6,1.1,1.1,1.9,1.4
Ted Power,1010504,-0.4,0.0,1.4,0.4,1.1,2.0,0.8,1.1,0.3,0.4,0.5
Randy Johnson,60,1.6,2.0,2.6,3.4,7.0,5.2,9.5,1.6,7.0,7.6,9.5
Brian Bohanon,1001126,-0.4,0.9,-0.2,0.1,0.3,1.2,1.1,1.7,1.8,2.1,-0.2
Sid Fernandez,1004001,0.9,3.1,4.0,1.9,3.3,3.2,3.2,0.8,4.9,0.9,0.3
Omar Olivares,1009771,0.6,1.5,1.5,-0.1,-0.5,0.0,2.0,1.9,1.6,2.7,0.8
Steve Bedrosian,1000766,2.6,1.4,1.8,1.7,0.3,0.8,0.6,-1.1,-0.6,-0.8,0.4
Aaron Sele,34,2.6,2.4,0.4,3.3,0.8,4.7,4.9,4.3,2.7,1.3,-0.1
Brandon Morrow,9346,0.3,0.5,0.3,3.2,2.9,2.5,-0.2,0.4,0.4,1.6,0.7
Kevin Tapani,1012824,0.6,3.5,4.6,4.5,4.3,3.4,2.2,2.7,1.6,2.1,2.6
Chris Carpenter,1292,1.1,2.8,2.9,0.7,2.3,0.5,3.1,6.3,5.0,5.1,2.8
Ervin Santana,3200,1.6,3.0,0.8,5.3,0.8,2.1,2.5,-0.8,2.6,3.2,1.5
Ron Reed,1010773,2.6,3.9,1.5,2.9,3.1,2.5,3.3,6.9,2.2,1.7,1.8
Jeff Russell,1011314,0.7,1.7,0.3,0.0,0.3,2.0,2.1,-0.2,1.2,1.8,0.2
Roberto Hernandez,605,1.7,1.9,0.8,1.0,3.2,1.2,0.4,2.2,1.0,0.5,0.6
Kip Wells,1012,0.9,0.7,1.4,2.3,2.1,1.9,0.4,0.4,0.9,-0.2,0.0
Milt Wilcox,1013939,0.2,0.2,0.8,-0.5,-0.1,1.5,3.0,2.8,2.0,2.8,2.4
