"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Rick Rhoden","1010887","0.7","1.2","3.2","1.6","1.7","2","3.6","5","4.3","2.7","4.6","2.5","2","C"
"John Burkett","    179","2.5","2.3","2.8","4.5","2.4","2.2","4.6","4.6","4.1","2.4","2.5","5.1","1.8","C"
"Tom Burgmeier","1001668","-0.1","-0.1","0.5","0.6","-0.2","0.2","0.6","-0.3","-1.1","-0.3","1.2","3","0.4","A"
"Mike Krukow","1007185","2.7","1.7","2.3","2.9","2.1","3.8","2","1.4","3.5","4.2","1.3","1.1","-0.1","D"
"Juan Marichal","1008106","1.6","2.3","1.7","6.7","6.4","6.8","6.3","3.7","5.9","7.8","3.2","4","1.5","I"
"Paul Assenmacher","1000344","0.8","-0.2","1.1","1.6","1.4","2.2","0.7","0.5","0.7","0.8","1.4","1","0.6","A"
"Jamey Wright","    715","1","0.6","1.5","1","1.8","0.8","-0.2","0.6","0.6","0.8","0.4","0.6","-0.4","A"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","7.6","3.7","4.2","2.4","6.8","M"
"Eddie Fisher","1004085","-0.4","2.2","1","0.4","0.5","0.6","0.1","0.2","0.2","0.2","0.1","-0.3","0.9","A"
"Carl Pavano","    790","0.9","2.1","1.8","0.4","0.8","3.3","4.5","0.6","0","3.5","2.8","2.4","0.8","F"
"Fernando Valenzuela","1013327","4.9","6.1","4.2","5.2","5.4","6.2","2.3","-0.2","1.6","1.7","1.4","0.2","0","H"
"Paul Lindblad","1007614","0.8","0.3","0.2","0.2","-0.1","0.3","0.2","-0.3","1.5","1.3","0.9","-0.6","0.1","A"
"Russ Springer","   1652","-0.3","0.1","-0.3","0.9","0.9","0.4","0.4","-0.2","0.2","0.1","1.4","0.6","0.4","A"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","2.3","5.5","6.7","0.3","2.3","F"
"Pete Richert","1010922","1","0.4","0.1","2.8","2.4","2.5","0.1","0.7","0.8","0.1","0.3","-0.1","0.2","B"
"Roy Halladay","   1303","0.5","-0.3","4","6.8","7","2.8","3.8","5.1","5.1","6.6","7","6.2","8.7","O"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","0.7","1.4","2.3","0.4","2.9","B"
"Scott Erickson","    137","0.8","3.2","1.9","3.3","2.2","3.4","3.6","4.7","5.2","2","0.2","0.6","-0.9","D"
"Tim Wakefield","    219","1.3","-0.5","2.6","1","1.8","1.6","0.7","-0.3","2.2","2.7","3.6","1.4","1.8","F"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","1.6","0.6","0.2","0.1","0.7","A"
"Bob Knepper","1007031","1.6","4.5","0.1","1.9","2.7","1.6","2.6","1.7","2.8","3.5","0.1","1.1","-0.6","E"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","6.5","9.6","7.3","6.8","3","I"
"Steve Reed","   1053","-0.5","-0.1","1.7","0.3","-0.3","0.8","0.1","0.3","0.3","1.1","-0.2","0.6","-0.2","A"
"Justin Verlander","   8700","2.8","3.7","3.2","8.5","6.6","6.5","6.9","4.8","3.2","3.1","5.3","4.3","6.7","M"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","0.3","1","1.7","0.6","1.3","A"
"Mark Guthrie","    876","0.3","3.4","0.6","1.4","0.2","1","1.1","-1","0.5","-0.1","0.5","0.3","0.6","A"
"Pete Harnisch","1005374","0.2","2","3.3","2.5","3.2","0.3","1.7","0.7","-0.1","3.2","2.9","0.9","-0.4","E"
"Frank Tanana","1012818","3.6","7.2","6","5.8","2.8","1.3","3.5","1.2","2.6","2.6","2.1","3.6","2.3","H"
"Jeff Fassero","    279","1.3","1.3","3.5","2.9","3.6","5.9","5","3.1","-0.5","1.8","1.7","-0.1","-0.8","D"
"Mike Fetters","    988","-0.1","-0.1","0.5","0.1","0.9","0.5","1.4","1.2","0.5","-0.3","0","-0.4","0.1","A"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","1.8","2.9","4.4","2","1.5","H"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","2","1.9","4.5","2.9","1.1","F"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","2.5","2.5","2.3","1.2","0.6","D"
"Jose DeLeon","1003168","3","2.9","1.8","0.8","2.4","4.6","4.6","2.8","1.8","1.2","-0.3","0.9","-0.3","D"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","2.1","2.3","0.3","2","2.6","G"
"Steve Rogers","1011138","2.6","4.4","4.2","4.8","7","3.7","4.2","4","3","6.4","4.9","0.5","0.4","K"
"Jon Garland","    232","0.4","0.3","2.2","1.7","1.9","3.5","3.6","3.5","1.3","1.8","1","0.2","0.3","D"
"Doug Drabek","1003473","1.5","2.7","2.4","2.5","4.2","3.9","4.8","4.1","2.9","2.6","1.7","-0.1","0.3","D"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","5","2.9","4.4","L"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","8.3","6.1","5.4","4.5","4.9","I"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","0.6","1.7","2.8","H"
"Terry Forster","1004236","0.5","2.3","3.1","3","0.8","1.3","0.9","1.6","0.1","0.7","1.3","-0.3","0.5","B"
"Mark Portugal","1010460","1.3","-0.7","-0.7","1.6","1.7","0.9","0.7","3.4","1.2","2.2","1.7","1.5","0.6","A"
"Roy Oswalt","    571","4.2","6.2","2.6","6.5","6.1","6.1","4.9","3.7","3.5","4.4","2.8","0.7","0.9","K"
"Jorge De La Rosa","   2047","0.3","-0.3","0.4","2.4","3.3","1.4","1.5","2.8","1.8","1.8","0.4","0","0","B"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","1.1","1.2","0.3","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","5.1","4.5","I"
"Mike Caldwell","1001830","2.2","1.8","1.5","0.5","1.4","1.1","6.3","4.4","1.1","0.2","1.9","0","1.4","J"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","-0.3","1.8","1.8","B"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","7.6","1.4","1.6","1.3","-0.5","K"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","0.5","1","2.8","-0.2","1.4","E"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","2","3.3","5.4","1.8","2.6","H"
"James Shields","   7059","1.7","4","4.1","3.4","2.1","4.9","3.8","4.1","3.4","0.8","-1","-0.2","1.1","D"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","1.9","1.4","1.6","1.6","0.6","A"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","2.3","1.8","1","B"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","2.7","1.1","1.6","1.4","4.2","G"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","4.7","4","4.1","4","1.4","C"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","0.1","2.2","0","0","0.6","B"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","1.2","-1.6","2.2","1.1","0.3","B"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","5.5","7.4","7.4","4.9","6.1","N"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","1.1","1.4","4.1","G"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","0.3","-0.2","1.5","0.4","-0.4","A"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","3.2","7.2","3.6","4.3","5.9","L"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","1.1","1.9","1.4","0","0.4","A"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","7","7.6","9.5","9.6","10.4","N"
"Sid Fernandez","1004001","0.9","3.1","4","1.9","3.3","3.2","3.2","0.8","4.9","0.9","0.3","0.8","1.7","E"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","-0.1","0.6","0.1","D"
"Kevin Tapani","1012824","0.6","3.5","4.6","4.5","4.3","3.4","2.2","2.7","1.6","2.1","2.6","2.3","2.9","H"
"Ervin Santana","   3200","1.6","3","0.8","5.3","0.8","2.1","2.5","-0.8","2.6","3.2","1.5","3.5","2.9","F"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","2.2","1.7","1.8","0.5","0.9","D"
"Jeff Russell","1011314","0.7","1.7","0.3","0","0.3","2","2.1","-0.2","1.2","1.8","0.2","0.6","0.2","A"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","1","0.5","0.6","-1.1","-0.2","B"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","2","2.8","2.4","2","3.6","J"
